future_goat_rank,player,age,team,production_z,ts_plus,production_score,efficiency_score,recognition_score,closest_goat,goat_similarity,adjusted_goat_similarity,future_goat_score,data_cutoff,model_version,trajectory_tier
1,Luka Dončić,25,DAL,3.2475266286899513,108.68054145718486,93.21031861801802,41.955715286528346,94.36,LeBron James,62.1319451821788,47.53632985480062,73.83298981615847,2023-24,V2,Elite historical trajectory
2,Shai Gilgeous-Alexander,25,OKC,1.9973845315220913,111.93065777852694,43.20463473130363,52.789436357668606,43.84,Larry Bird,53.081957630859414,24.742220789651356,42.99031436382113,2023-24,V2,Emerging trajectory
3,Jayson Tatum,26,BOS,1.9338069530830717,106.34389056062984,42.23450589048646,37.6689728574469,58.22,Larry Bird,51.134334685918326,23.54284063426717,42.28574637117206,2023-24,V2,Emerging trajectory
4,Devin Booker,27,PHX,1.8113456645526511,107.59741461967987,37.90242391965063,45.23991946417472,24.32,Larry Bird,34.356048559651946,12.30660495876232,32.501818981735745,2023-24,V2,Developing trajectory
5,Jalen Duren,20,DET,1.2123611557204674,115.01356324719754,25.129068497565903,76.93723063381636,0.0,Magic Johnson,70.70381989430832,24.054924103546167,31.63772024813408,2023-24,V2,Developing trajectory
6,Tyrese Haliburton,24,IND,1.943184624127832,106.5128108154092,47.45783535728608,43.87873984336286,5.0,Michael Jordan,56.84881640191022,18.25540092123503,31.5682374740761,2023-24,V2,Developing trajectory
7,Zion Williamson,23,NOP,1.4251994526726375,107.46461533334244,31.422715861686214,57.332655879135594,0.0,Larry Bird,63.667884516930414,18.836222527506237,28.15654790050001,2023-24,V2,Developing trajectory
8,Dereck Lively II,20,DAL,0.11622309020387606,128.19654277782212,0.0,100.0,0.0,Magic Johnson,35.94973796972923,11.983245989909744,26.79748689848646,2023-24,V2,Developing trajectory
9,Isaiah Jackson,22,IND,-0.4297089411950979,121.32144454670654,0.0,100.0,0.0,Michael Jordan,31.425895717181618,10.475298572393873,26.57129478585908,2023-24,V2,Developing trajectory
10,Daniel Gafford,25,TOT,0.40960160190820893,128.6368209526979,0.0,100.0,0.0,Magic Johnson,28.405968634423257,9.46865621147442,26.420298431721164,2023-24,V2,Developing trajectory
11,Evan Mobley,23,CLE,1.1643349579613669,110.1620475801213,20.98813607323539,66.32409670173179,0.0,Kareem Abdul-Jabbar,55.07779127028844,16.02988310707493,26.33135426712657,2023-24,V2,Developing trajectory
12,Nick Richards,26,CHA,0.2747894526348844,126.20060208464194,0.0,100.0,0.0,Magic Johnson,24.603516797721962,8.201172265907323,26.230175839886098,2023-24,V2,Developing trajectory
13,Jaxson Hayes,24,LAL,-0.726600876639778,126.35476720523174,0.0,100.0,0.0,Magic Johnson,24.502126020346257,8.16737534011542,26.225106301017313,2023-24,V2,Developing trajectory
